Date,Deposited/Spent,Purpose
2/3/2018,65,Food
2/3/2018,100,Gas
3/3/2018,60,Shared Account
3/3/2018,97,Food
3/3/2018,20,Snack
3/3/2018,59,Food
4/3/2018,338,Shared Account
4/3/2018,55,Snack
4/3/2018,240,Shared Account
4/3/2018,50,Food
5/3/2018,65,Food
5/3/2018,120,Food
5/3/2018,20,Snack
6/3/2018,100,Gas
6/3/2018,103,Food
6/3/2018,200,Gas
7/3/2018,179,Food
7/3/2018,107,Food
7/3/2018,29,Snack
7/3/2018,33,Shared Account
8/3/2018,50,Food
8/3/2018,53,Food
8/3/2018,22,Snack
9/3/2018,50,Food
9/3/2018,45,Food
9/3/2018,110,Shared Account
9/3/2018,20,Snack
10/3/2018,50,Food
10/3/2018,500,clothes
11/3/2018,20,Food
11/3/2018,50,Shared Account
11/3/2018,70,Food
11/3/2018,88,Food
12/3/2018,680,Shared Account
12/3/2018,1820,Shared Account
13/3/2018,65,Food
13/3/2018,59,Food
13/3/2018,20,Snack
13/3/2018,67,Shared Account
14/3/2018,72,Food
14/3/2018,99,Snack
15/3/2018,55,Food
15/3/2018,40,Snack
15/3/2018,19,Snack
16/3/2018,100,Gas
16/3/2018,70,Food
16/3/2018,500,Shared Account
16/3/2018,50,Food
16/3/2018,25,Snack
17/3/2018,3000,Shared Account
17/3/2018,74,Shared Account
17/3/2018,20,Snack
17/3/2018,485,Shared Account
17/3/2018,60,Laundry
18/3/2018,120,Others
18/3/2018,100,Gas
18/3/2018,57,Snack
19/3/2018,59,Food
19/3/2018,23,Snack
19/3/2018,15,Snack
20/3/2018,32,Snack
20/3/2018,59,Food
20/3/2018,160,Credit
20/3/2018,2025,Credit
21/3/2018,59,Food
21/3/2018,16,Snack
